date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-10-08,2.537942174321385,2.396018837855171,0.9663791022511248,3.3348752934252857,1.0846770124778857,1.3641882524220592,0.89305573436304,2.0477240892043658,0.8529944782068413,1.394467210395583,1.4617482980568826,0.8821954730446551,3.732376830165663,2.1201372715097535,2.1196577235529626,3.684545826241573,3.026793541650505,2.7730319564569745,1.4291878710908679,0.30054783025296605,1.1687684429212264,1.0090661519642552,1.3074183399241623,2.4313643159695526,2.2804637805432457,2.6025559892515235,4.783968232879046,3.5080500080644827,1.971978042670566,0.5846830686815065,1.1557960367882245,1.5499594864435773,0.8679644821840073,2.0086604950913816,7.215948308667799,1.3147291066035878,3.3058114401141685,0.90143126515475,1.0891276347761274,2.2732296832445438,1.4678660060168347,2.107905003074554,6.65454146739026,2.808538777896126,2.0183901292738784,4.913305779557124,0.1714773818128204,1.3006824775388586,0.9271305584989835,1.3229941517074213,5.324577315947248,2.8889399560093234
2020-10-09,2.63746931841242,2.4840976463690887,0.9974285303302766,3.484984445643256,1.0883973802233298,1.4076005567888508,0.9704688570653639,2.1257717475692264,0.889834771285542,1.3997750321647016,1.492735101540176,0.9005598303698441,3.8006451919767885,2.149493746794561,2.219773302086578,3.797697040002282,3.1410963596783597,2.779970691677748,1.4844710262489582,0.3027796210716762,1.188782734117585,1.0403900362657734,1.3395605844761769,2.416824360171018,2.353376796659038,2.586914257894349,5.138578825537202,3.279556329378291,2.025222099140433,0.6214555887243687,1.174372536502822,1.6825406363609048,0.8903768312649802,2.0376457701902466,7.425904978859988,1.3767527012344833,3.4357087782548823,0.9353357025343211,1.1238097455012654,2.291703588383859,1.4678660060168347,2.020504537637942,6.8749653821415935,2.8556894289119006,2.0565334779791655,5.0061400130227005,0.1714773818128204,1.3169673689438217,0.9390808249045653,1.417294451850211,5.353946476679685,3.2137729175701804
2020-10-10,2.670509067065591,2.669888883078134,1.0635116051359053,3.5860513141343837,1.1132251404837434,1.4864373015189445,0.9704688570653639,2.1935499772018683,0.946512145252774,1.3129874902556073,1.5571575136452602,0.8814891516090708,4.028952500328751,2.252714901828238,2.3708379064911584,3.938739869479916,2.667409005689054,2.8994960016097866,1.2859249086967501,0.3035235513445796,1.2226912439957127,1.0409728062062666,1.4997711492214216,2.498567282404242,2.613780425644012,3.05502565569812,5.623244490436742,3.975893399944582,2.1657993945761187,0.6729371167843755,1.1968895058538491,1.8322905682819153,0.9145883368088752,2.136043151446918,7.746088900903076,1.4243183820824528,3.61387536072415,0.9730336433969211,1.1763015887609338,2.147982868740712,1.4678660060168347,2.084792435547983,7.241208194343809,2.8242068513703122,2.0387723345946966,5.0717716571472,0.18429812063994716,1.377889264847281,0.9989634785413268,1.4373820897504501,5.444114952612601,3.148115191297241
2020-10-11,2.6643905950927813,2.8556801197871797,1.1081623313559246,3.5509264352489427,1.1399257389289386,1.5572861822455482,0.8176059879611375,2.2007385773144215,1.0201927314101755,1.5363350431193006,1.6163055762212732,0.8913776517072495,3.997056626367815,2.3321036495070437,2.4745184314414015,4.017660463951671,3.0837733248115375,2.9888042388061975,1.4872674504398344,0.31245071461942014,1.2367508700427412,1.0701113032309348,1.3664959856739713,2.583679218785907,2.6487249126303825,2.9155535510966484,5.884290282921242,3.977444262017113,2.1388527074602717,0.6869106744006631,1.2155785904152017,1.879981629403256,0.9302667002714824,2.216229389467132,8.242111534232123,1.4498122182203934,3.5939105947453243,1.0102573963241426,1.1852845678901927,1.8990548249143469,1.4678660060168347,2.126938882214083,7.715967395346682,2.990698435857689,2.007388566672625,5.1823091630410945,0.19711885946707394,1.4203002769954587,0.9963370463642758,1.4597016874173827,5.60727695668169,3.2085894128644217
2020-10-12,2.637061420280899,2.946511391067157,1.080684961374374,3.525742559821645,1.1205646414781574,1.564405800161702,1.1309047490426438,2.216142720412749,1.023026600108537,1.4563917977019647,1.602366223894442,0.8610058299771293,4.045739802413455,2.441638025032077,2.5978061616830943,3.873765082866624,2.878852056455295,2.9263556218192335,1.3861659604620038,0.30873106325490324,1.24882560770666,1.117752745866267,1.4462007416347304,2.648222437208669,2.5502755406399342,2.9150647469917366,5.9890828591157375,3.9753764459204057,2.192421422811053,0.7133868888315238,1.2228966054542854,1.9753637516459377,0.9444029296230134,2.2510307888457035,8.312971910421986,1.4776158985721741,3.526940177221415,0.9901044090705514,1.1457594597214542,1.7543947541624214,1.4678660060168347,2.0240005562554066,7.831266058447379,3.2494412940715818,1.8753353278005245,5.264348718196718,0.20352922888063732,1.4122164100390382,1.0063174886370694,1.4440779690505299,5.536687921237063,3.4228409407024336
2020-10-13,2.574653006158242,3.008441803303506,1.1301442273411646,3.4482027328481237,1.1121621782707594,1.6576554299415704,1.1662455224502264,2.2397624064968515,1.051365287092153,1.4930809516849934,1.578160726948526,0.8200391867132463,4.028952500328751,2.4893028397418178,2.6863356643626712,3.8569667234007485,3.1891515984888685,2.8764414942633447,1.4457513066829806,0.29087673670522207,1.2600733085442828,1.1340703042000813,1.4628225877270498,2.7283695106347365,2.604372294532297,2.9186493104277558,6.11913793135712,4.065326446127187,2.2255366286642624,0.7398631032623845,1.2621887169718278,2.009701315653303,0.9557119131042383,2.2739139007658595,8.39564234931016,1.509012669923262,3.6143807978375375,1.0126283360010355,1.2150455683097368,1.767232552649064,0.8410730619684885,2.124996649648825,7.85613439754753,3.1989227394118234,1.9555881057726787,5.261757995402331,0.21474737535437324,1.468452006257616,1.0166918957364206,1.510478772109654,5.701567420085826,3.483315162269615
2020-10-14,2.6295153048477675,3.0359664309641055,1.1572094367729917,3.4352794283525374,1.1117066230366235,1.659391922116242,1.149977547389593,2.133987290555001,1.0967071862659388,1.5050002707454702,1.5791025750787173,0.8150949366641569,4.102816629501445,2.542333891869211,2.6875239798348804,3.956806029660198,2.8826278252189774,2.9735837873541775,1.3956307808003539,0.28864494588651196,1.225337761839859,1.1093025817291133,1.524403523551003,2.7881251826360303,2.664853137393323,3.633117977107023,6.278198091652335,4.2421247223956895,2.24144491382904,0.7560430120812437,1.312739313164884,2.176143118966783,0.9440945028007983,2.2414961588789715,8.829990210770253,1.5699241173400862,3.596437780312264,1.019029873128647,1.2427756343174485,1.9425780929544283,1.9379607140530943,2.2308483244553883,8.001953294998412,3.27916670449457,2.034288939177258,5.306232070039327,0.21474737535437324,1.5100429159609394,1.0143281067770749,1.560697866860252,5.739352305238668,3.618086284619332
2020-10-15,2.537738225255625,3.071748446922884,1.2344208464211481,3.6072587881784237,1.0897387373016194,1.7397915098035401,1.0473210151104246,1.665701340365838,1.052782221441334,1.5369868808804203,1.6171532395384454,0.8172139009709094,4.122961392003089,2.684460268180872,2.7586743687334,3.984697645377123,3.312378960867246,3.014544708173584,1.381648659845973,0.27376634042844433,1.2117743578886082,1.0829322419217888,1.670495532278073,2.7881251826360303,2.8832561810581394,3.376007017923469,6.622516556291391,4.334659492723356,2.203459824762122,0.6516090551595156,1.3498923125940787,2.3278006933326467,0.9327341148492042,2.312624498430791,9.131802924171524,1.6283546209716746,3.6067992411367182,1.0342038870607628,1.2709743774971216,1.8884088456815211,1.9379607140530943,2.315335441044113,8.466539084551222,3.4563477222867656,2.0009393748029245,5.408997407550057,0.21634996770776407,1.552805400585483,1.0333697400606943,1.5495380680267858,5.911445282162065,3.7338512230479353
2020-10-16,2.6464430773058734,3.1753010765246183,1.2484343051117388,3.646691435229061,1.0628862871117124,1.8535317472445343,1.2733897719875007,1.6410547114085137,1.1080426610593852,1.5673904564526513,1.6535085773638292,0.7861357578052051,4.475494735781854,2.851287119664964,2.8870124397319814,4.260444300760363,3.375880526438276,3.02282642440483,1.5474981253202444,0.2819495734303815,1.2422093130962935,1.0944419482465328,1.7614150277709995,2.935652539030915,3.053610555116696,3.4781670758500143,6.773155884570977,4.781824723636379,2.2651450121357493,0.6736725671852327,1.3538327822305085,2.549087216935668,0.9358183830713565,2.3585814148704376,9.688188100180826,1.7131344585981811,3.682867526701611,1.0489037130574999,1.3989232454425637,1.809816469580367,1.9379607140530943,2.2067646406461883,8.838433792003473,3.380789536186953,2.026701654624669,5.568326859404928,0.21955515241454576,1.5606549525576594,1.079857589594496,1.732558768895632,6.077870526312535,3.9740202744147393
2020-10-17,2.7369964625034546,3.206902947905002,1.3333393783547294,3.785865483643073,1.0690869000207859,1.9608469636392432,1.2733897719875007,1.7437489987306987,1.1548014945823515,1.668984027507181,1.7275378403968646,0.8030874722592256,4.821313158726739,3.0227699712614315,3.0942249501984413,4.419870240596881,3.0158094870652463,3.1739117880829686,1.3551901848092216,0.2923645972510288,1.296297521536039,1.0871573239903656,1.9589746804224792,3.058000947579558,3.1980925686180366,3.582771154301118,7.101568333180511,4.887283344568468,2.4518238686611977,0.714122339232381,1.4016813421014414,2.726497964307056,0.9517023644154404,2.500838093974076,10.118599274074812,1.8237503315054195,3.975010178239871,1.0775920831479062,1.3688497935750452,1.791029447404792,1.9379607140530943,2.2592049199081554,9.26119555670603,3.529416588301894,2.109403056247886,5.5031270024128265,0.22596552182810917,1.5661613546873951,1.0988992228781151,1.7688281151043972,5.757557749903219,3.994754293237772
