date,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Estado de México,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-10-10,0.6099112317767237,0.3403149715477976,1.215347678909617,0.14790874030723045,0.023907718301463064,0.9209554050822744,1.4593101291823771,0.8568623552219515,0.9424914634472517,0.8175512414151769,0.2983740336554434,0.4622541916371971,0.4429802397999698,0.3146045864229491,0.3643414807175482,0.380900986260002,0.21966108593787456,0.2669623947768497,0.9956947698217856,0.40809992680265655,0.22076021156035527,0.6229061907663369,0.3887982015471847,0.7452526776412334,0.3719104348437628,0.624116796677448,0.42374742787255076,0.3919901429955936,0.2094186205762128,0.19602190293004734,0.4878053099068743,0.6810983506018269
2020-10-11,0.5799384512436961,0.3194063718407381,1.1258742301555347,0.13291798960041654,0.021639102696214746,0.9175356906389526,1.3667241586735037,0.8304543420987225,0.881356882034457,0.7720722783783379,0.2732991389040148,0.4245224323337093,0.40524488603923164,0.3009965610575898,0.3426997870195737,0.34318391362707473,0.21134429649256528,0.24911316489351382,0.9245737148345152,0.3774501984147574,0.20380195113870933,0.6014115405215831,0.34585631063003297,0.7148982848721382,0.3443497808136032,0.5743565726588709,0.3883703490318149,0.355283868249675,0.19709987818937674,0.17810592255472044,0.4554915280346404,0.688899477084491
2020-10-12,0.5883029481366341,0.3282099927700263,1.1432718451910506,0.1319186062199623,0.02216262937434897,0.9733033415608155,1.3687200239060302,0.8537555301486305,0.8546105026663593,0.86570543757183,0.26928256537403766,0.4352799977521505,0.38883821049108463,0.3055325695127096,0.3384190124419524,0.3438056236155296,0.21770419430368415,0.24135263016162867,0.9634318351032494,0.36852074998678686,0.214855103020675,0.6404528440273605,0.3429548315140092,0.752928501100085,0.3510023524760555,0.5519156873171597,0.38292772151785553,0.3443267713105948,0.19202745485362074,0.18337532854746363,0.46788585532809995,0.6991009501772056
2020-10-13,0.5917881551753582,0.32986067169426786,1.1619121470148177,0.1319186062199623,0.021639102696214746,1.1014111057067932,1.3856848783825064,0.9047074613510961,0.8316850346365613,0.911184400608669,0.26606930655005595,0.4386517719877813,0.3727049795354067,0.3078005737402695,0.3380622812271506,0.351473380139806,0.224064092114803,0.2475610579471368,1.002824700146324,0.37672618908275984,0.21712629861285973,0.6808101465277148,0.3417942398675997,0.8010768482510636,0.3598724480259919,0.5554932197629396,0.3798176486527359,0.34953139235665787,0.19927377390470075,0.18290693690366425,0.4953304371921891,0.7579094421234426
2020-10-14,0.6238520599316202,0.33701361369931454,1.1519706527088087,0.13091922283950802,0.020068522661812062,1.2466174420693796,1.3900092530529808,0.9295620619376647,0.826590486185495,0.9566633636455081,0.25998706663323345,0.4399362574108788,0.37872076056972725,0.316872590650509,0.3450779951182522,0.34629246356934895,0.2245533150233506,0.23592025584930904,1.0235014980874853,0.37817420774675503,0.21864042900764954,0.7088847917453525,0.3354109858123474,0.835618053815896,0.36684180881522765,0.5538670686512215,0.3942017356539142,0.3476139003923189,0.20579546105067278,0.18419501392411258,0.49621574628457904,0.7903141213591243
2020-10-15,0.6419751365329858,0.34884347932304555,1.1817951356268361,0.12292415579587394,0.020941067125369108,1.3489458204118547,1.4212778083625643,0.9606303126708754,0.8151277521705961,1.0326399842482274,0.26067562209551526,0.438330650632007,0.3776269821998508,0.33080461661980537,0.3509046049600146,0.34649970023216725,0.224064092114803,0.23824841626887458,1.0495257437720504,0.3796222264107503,0.22030597244191832,0.7571380882131673,0.32786714011068563,0.8520164039325338,0.36684180881522765,0.5509399966501287,0.39381297654577424,0.35117495689751993,0.19999840580980877,0.18489760138981168,0.5037408735698938,0.8179181073747049
2020-10-16,0.6872828280363995,0.3606733449467766,1.2749966447456718,0.14491059016586766,0.021115576018080517,1.4888910576308692,1.5287218867135806,1.0081647362926878,0.8647995995684917,1.1439296820324922,0.27467624982857836,0.4784708201038025,0.3836427632341714,0.34635664560878743,0.36909789691490524,0.36121350329226526,0.23971922518832636,0.25066527183989085,1.1031784694642017,0.3858969739547296,0.23484162423190058,0.8211833726159034,0.3429548315140092,0.8956290372214636,0.3874331020561515,0.5769584144376201,0.40741954533067265,0.3613102715661691,0.2115925162915368,0.18981571364970534,0.5502196009203674,0.8875281590661691
2020-10-17,0.6817064967744408,0.3659004948735415,1.312277248393206,0.14590997354632193,0.021115576018080517,1.5862213917869508,1.5772879407050615,1.0299125118059353,0.8839041562599901,1.164261453743079,0.2782911660055578,0.48601717196450006,0.3759863146450361,0.3486246498363473,0.3761136108060068,0.3651509998858126,0.24118689391396916,0.25066527183989085,1.128489722116313,0.3899996935027161,0.23847553717939612,0.8505740168281178,0.3429548315140092,0.9074916734760525,0.3997878780007058,0.5828125584398056,0.4058645088981128,0.3676106023061402,0.22028809915283284,0.1894644199168558,0.5643845463986069,0.9115316251666741
2020-10-18,0.6496425920181789,0.3408651978558781,1.216590365697868,0.12991983945905378,0.0188469604128322,1.5614942258121625,1.4987839082256813,1.0003976736093851,0.8456950428769934,1.1059413717311326,0.2639462605413538,0.46963998282000746,0.33496962577466854,0.3437646407772904,0.35863378128071977,0.3400753636848005,0.21525807976094613,0.23281604195655498,1.0587946531939503,0.36755540421079,0.2246969505868088,0.8369753605508246,0.3005932364200622,0.8708570615133514,0.37602869349194756,0.5366298668670085,0.38953662635623476,0.3385742954175777,0.21956346724772483,0.17271941865102738,0.5218897099638883,0.8917287656337575
2020-10-19,0.6921621178906133,0.3455421214745625,1.2563563429219047,0.14091305664405063,0.019719504876389245,1.67460785739896,1.5701915309894114,1.0268056867326143,0.8189486635088957,1.2054600437882157,0.27048753743303083,0.4980592228060387,0.3305945122951627,0.3573726661426497,0.3740921339221301,0.3413187836617102,0.20694129031563685,0.24445684405438273,1.0586164049358369,0.3605566473348131,0.23438738511346363,0.9168126328884818,0.2936296865416052,0.8931867297572835,0.37159364571697934,0.5450858526479432,0.3755412984631964,0.34240927934625576,0.22246199486815685,0.1754126706028739,0.5351693463497378,0.9265337914794897
